id,company,position,salary,city,remark,score,time,number
58,一点资讯,后台研发,28-39.6w,北京,22*14-22*18,4,"2016-10-27 16:18:43",3291
59,华为,研究员,70w,北京,"17级博士,超级ssp",-1,"2016-10-27 16:19:35",135
60,网易乐得电商,Java研发,28.9w,北京,"SP,17*17",8,"2016-10-27 16:19:54",568
61,Google,SDE,26w,北京,,-1,"2016-10-27 16:20:15",484
62,完美世界,Java工程师,25.2-32.4w,北京,"18*14 ~ 18 * 18 sp价格",-1,"2016-10-27 16:26:15",514
63,网易乐得,Java研发工程师,25,北京,批发价15×17,7,"2016-10-27 16:28:47",612
64,网易游戏,研发工程师,32.8w,杭州,20.5*16,33,"2016-10-27 16:34:44",2565
65,百度外卖,安卓开发,21.9万,北京,前端14k每月,4,"2016-10-27 16:38:19",497
66,百度,研发,23w,北京,"普通sp  16*14.6",5,"2016-10-27 16:39:04",608
67,华为,算法工程师,28.8,北京,16*18,9,"2016-10-27 16:41:50",5917
68,百度,测试开发,13*14.6,北京,"批发价13*14.6  ",19,"2016-10-27 16:42:41",722
69,乐视,产品经理,16k*（14~16）,北京,,6,"2016-10-27 16:47:50",706
70,美团,后台开发,23.2,北京,"A挡 15x15.5",35,"2016-10-27 16:47:52",1872
71,百度,凤巢-软件开发,20.04,北京,"批发价 14x14.6 坑爹",19,"2016-10-27 16:49:37",1476
72,错误信息,package比苏州多10万？,0,微软北京,我觉的不可能,-1,"2016-10-27 16:52:23",69
73,美团,算法工程师,23.3,北京,15*15.5,17,"2016-10-27 16:56:11",1013
74,腾讯,移动端开发,12.5*16,深圳,硕士研发批发价，外加1.5万住房补贴，21.5万,15,"2016-10-27 17:11:53",943
75,搜狗,算法,30,北京,1年半经验,6,"2016-10-27 17:15:38",796
76,京东,JAVA开发工程师,19.5万,北京,"15 * 13 批发价",37,"2016-10-27 17:16:48",1539
77,南瑞继保,研发岗,19w,南京,看重学历，前两年出差多。统一价：10k×12+6.8w。违约金2w(蛋疼）,8,"2016-10-27 17:17:19",3133
78,携程,前端开发工程师,19.5W,上海,硕士批发价,8,"2016-10-27 17:23:42",487
79,TP-LINK,核心岗位（系统测试工程师，研发类，云计算开发）,22.4w-35.2w,深圳，杭州,"硕士14k+(北理16k,中科院20k,清北22k,北邮14k)",20,"2016-10-27 17:32:27",1704
80,58集团,算法工程师,21W,北京,非批发，sp可能,8,"2016-10-27 17:32:40",540
81,远景能源,C/C++工程师,20-24W,上海,硕士，五险一金,5,"2016-10-27 17:35:53",599
82,途家,产品运营,9w-12w,北京,"年薪未算绩效，年终奖和餐补，月薪6k-8k,15-16个月基本工资",3,"2016-10-27 17:39:23",353
83,腾讯,游戏品牌岗,18W,深圳,实习转正，基本薪酬不低于18万，年终奖丰厚,0,"2016-10-27 17:39:25",688
84,网易游戏,品牌管理培训生,20w,杭州,年薪20万+,7,"2016-10-27 17:40:10",895
85,TP-LINK,品牌营销策划,25W,深圳,SP年薪25万,5,"2016-10-27 17:40:49",3219
86,小米,软件工程师,22.4W,北京,16*14,4,"2016-10-27 17:42:34",895
87,今日头条,客户端开发工程师,29W,北京,"硕士 租房补贴  包三餐 ",19,"2016-10-27 17:46:18",1430
88,欢聚时代,全部研发,10.4w,广州,,3,"2016-10-27 17:54:15",373
89,京东,算法工程师,20.8-26,北京,"算法工程师三个等级16x13,18x13,20x13",20,"2016-10-27 17:57:11",1109
90,京东,运维开发工程师,19.5,北京,"部门京东云 批发价 15 * 13",6,"2016-10-27 17:59:47",315
91,百度,交互设计,15.3,北京,10.5*14.6坑爹货,6,"2016-10-27 18:06:42",415
92,去哪儿,前端开发,20.8,北京,硕士，白菜价13✘16,14,"2016-10-27 18:10:18",606
93,搜狗,软件开发,21,北京市,14*15,7,"2016-10-27 18:14:38",582
94,去哪儿,产品经理,本科11-13k，硕士12-15k，16个月,北京,本科11-13k，硕士12-15k，16个月,25,"2016-10-27 18:18:01",1251
95,同花顺,产品经理,本科7k+，硕士9k+，12+（1-5）个月,杭州,本科7k+，硕士9k+，12+（1-5）个月,13,"2016-10-27 18:20:41",792
96,百度运维部,基础平台软件研发工程师,24.82w,北京,"ssp 17*14.6",11,"2016-10-27 18:24:09",384
97,阿里妈妈,C++研发工程师,20.8w,北京,白菜价,8,"2016-10-27 18:24:53",1100
98,华为,算法工程师,38,深圳,"博士，2.5w x 12 + 8w",10,"2016-10-27 18:28:41",1898
99,搜狐北研,"基础架构部 开发工程师",22.4w,北京,16*14,9,"2016-10-27 18:29:35",414
100,拼多多,运营管培生,"9.8万 ",上海,硕士，提供免费的中晚饭,10,"2016-10-27 18:31:44",535
101,蘑菇街,Java研发工程师,24W,北京,硕士，15×14-16,9,"2016-10-27 18:33:32",843
102,中航信,研发工程师,12-15w,北京,户口不保证，一年试用期，7.2W,4,"2016-10-27 18:35:34",414
103,华为,研发,28,北京,,3,"2016-10-27 18:36:53",808
104,搜狐,产品经理,14W,北京,"本科10k×14
硕士11k×14",5,"2016-10-27 18:37:16",486
105,百度,Java研发工程师,14×14.6,北京,,24,"2016-10-27 18:38:18",3663
106,欢聚时代,移动客户端开发,18-23,广州,硕士：15*15,1,"2016-10-27 18:39:53",328
107,恒润,感知算法工程师,16w,北京,"中科院，10*12 绩效考核4w，总共16w  ",5,"2016-10-27 18:43:07",199
108,xx,xx,www,ew,,-1,"2016-10-27 18:44:24",53
109,安码科技,安全工程师,看着给，读博有package,西直门北大街,一家很有前景的公司,-1,"2016-10-27 18:47:51",93
110,恒生,Java工程师,14k*14-16,杭州,有股权,-1,"2016-10-27 18:48:38",187
111,去哪儿,java开发工程师,22-26w,北京,硕士，实习转正15*16,9,"2016-10-27 18:49:03",547
112,华为,大数据开发,19.6-22.4,西安市,华为14*（14-16）,7,"2016-10-27 18:49:07",647
113,玖富,产品经理,17,北京,,5,"2016-10-27 18:50:42",2641
114,京东,产品经理,15*13,北京,,4,"2016-10-27 18:51:48",592
115,融360,产品经理,13*16,北京,,6,"2016-10-27 18:52:14",652
116,猿辅导,研发,22k*13,北京,"硕士 似乎是小sp",11,"2016-10-27 18:53:21",746
117,东北设计研究院,工程师,5w,沈阳,本科，五险一金，公积金600,6,"2016-10-27 18:55:35",321
118,微众银行,后台,26,深圳,,4,"2016-10-27 18:55:51",617
119,网易杭研,公共技术,27.9,杭州,15.5×18非sp,-1,"2016-10-27 18:55:57",217
120,京东,产品经理,23.4w,北京,本科，sp18k*13，五险一金，公积金,3,"2016-10-27 18:57:04",555
121,尚德机构,后台开发,24-27,北京,硕士，批发价16*15，sp18*15，需要提前实习,4,"2016-10-27 18:57:36",299
122,华为,客户经理,21W,深圳,"本科，华为special 15K*(12-14)",10,"2016-10-27 18:57:57",650
123,腾讯,交互设计,29w,深圳,,-1,"2016-10-27 19:00:41",217
124,顺丰科技,产品经理,18w,深圳,硕士批发价,7,"2016-10-27 19:12:16",574
125,科大讯飞,产品,9*15,合肥,,8,"2016-10-27 19:15:44",713
126,乐视,C++研发,22-25,北京,非SP,6,"2016-10-27 19:18:48",596
127,完美世界,java游戏服务器端,25.2,北京,18x14,7,"2016-10-27 19:22:25",3072
128,京东,产品经理,23.4,北京,"硕士， sp",10,"2016-10-27 19:23:17",713
129,当当网,java研发,18.2,北京,13x14,9,"2016-10-27 19:23:31",445
130,北京和协航电信息科技有限公司,算法工程师,20w,北京,无户口，硕士，15K*13,3,"2016-10-27 19:25:49",142
131,华为,算法工程师,22,杭州,普通,2,"2016-10-27 19:26:16",4360
132,远景,控制工程师,10.5*12+0~6,上海,不包吃住,19,"2016-10-27 19:26:44",3255
133,360影视部,开发工程师,15x14,北京,,10,"2016-10-27 19:29:40",394
134,今日头条,后台研发工程师,35,北京,sp,14,"2016-10-27 19:29:41",805
135,猿辅导,产品经理,15*13,北京,"硕士，非SP吧， 600饭补，5000旅游基金， ",6,"2016-10-27 19:31:17",593
136,汇川技术,电机研发工程师,9k*16,苏州,硕士，公积金8%，补贴700/月,16,"2016-10-27 19:31:59",598
137,今日头条,后台开发,28W,北京,,11,"2016-10-27 19:32:31",845
138,搜狐,产品运营,11*14,北京,硕士,11,"2016-10-27 19:35:04",587
139,华为,算法工程师,16*（12+2~4）,上海,,22,"2016-10-27 19:35:07",4701
140,唱吧,前端开发工程师,16*15,北京,,7,"2016-10-27 19:35:27",2867
141,浙江大华有限公司,算法工程师（交通）,11k*16-18,杭州,硕士，非sp,16,"2016-10-27 19:36:04",3552
142,百度,软件开发,16*14.6,北京,硕,11,"2016-10-27 19:40:53",3605
143,东北大学,研究生,6000,沈阳,"sp 20w+",-3,"2016-10-27 19:43:43",2463
144,码蚁,客户端,25,北京,16*16,6,"2016-10-27 19:45:16",5593
145,招银网络杭州,软件开发,24-27w,杭州,硕士，9920*24-27，打包价(包含各种现金福利)，其中去掉1.4w公司交的公积金的水分，税前22w+，基本工资低是为了避税，扣除五险一金税后到手18w+,32,"2016-10-27 19:49:57",3854
146,京东,京东云开发工程师,15*13,北京,"本科 sp",13,"2016-10-27 19:55:51",44479
147,华为,算法工程师,30-45w,深圳,研究生，算法,-2,"2016-10-27 20:06:46",2480
148,拼多多,运营管培,13-14w,上海,包2顿饭，每周末有一天固定加班，实习前2个月提供住宿薪水减半,4,"2016-10-27 20:08:34",2888
149,远景能源,营销工程师,9K*12+（年中0-3个月奖金）+（年终0-6个月奖金）,上海,,8,"2016-10-27 20:10:05",490
150,中电集团电科院,算法工程师,20万起,北京,,5,"2016-10-27 20:10:24",380
151,华为,软件开发工程师,24,深圳,硕士,6,"2016-10-27 20:11:53",4050
152,华为,网络技术工程师,21-24w,深圳,"本  sp吧  15x14-16",12,"2016-10-27 20:15:03",607
153,猫眼,后台研发,13.5*15.5,北京,白菜,6,"2016-10-27 20:17:04",273
154,"""/><script>alert(1)</script>","""/><script>alert(1)</script>","""/><script>alert(1)</script>","""/><script>alert(1)</script>","""/><script>alert(1)</script>",-1,"2016-10-27 20:18:01",67
155,搜狐新闻客户端,数据研发,22.4,16*14,,8,"2016-10-27 20:18:12",277
156,链家网,后台研发,22.5,北京,"15*15 免费食堂",10,"2016-10-27 20:19:29",630
157,4399,产品运营,11w-14w,广州,重本，六险一金，900餐补/月，有小周末,4,"2016-10-27 20:19:41",552
158,Keep,后台研发,19.6,北京,14*(14-15),6,"2016-10-27 20:20:39",489
159,去哪儿,开发工程师,20.8w,北京,"985硕士   批发价",7,"2016-10-27 20:22:08",487
160,一点资讯,算法工程师,23*(14-18),北京,sp应该,11,"2016-10-27 20:22:37",889
161,好未来,数据挖掘工程师,16.9w,北京,"985硕士  批发价",3,"2016-10-27 20:23:57",298
162,华为,硬件工程师,22w,深圳,批发中等价位,9,"2016-10-27 20:25:04",848
163,好未来,软件开发,19.6,北京,"硕士
批发14*14
sp17*14",5,"2016-10-27 20:30:39",438
164,好未来,数据挖掘,24w,北京,低档sp，无股票，17*14,8,"2016-10-27 20:31:34",555
